concept:bird:loons	bird : loons
concept:visualizablething:risotto	visualizable thing : risotto
concept:disease:crohn	disease : crohn
concept:bodypart:bowels	bodypart : bowels
concept:country:barbados	country : barbados
concept:disease:vision_impairment	disease : vision impairment
concept:musicalbum:nebraska	music album : nebraska
concept:personeurope:owen_hargreaves	person europe : owen hargreaves
concept:bird:female_birds	bird : female birds
concept:televisionstation:wsav_tv	television station : wsav tv
concept:convention:context	convention : context
concept:trainstation:stronghold	trainstation : stronghold
concept:politician:ray_hunt	politician : ray hunt
concept:politician:wellington_webb	politician : wellington webb
concept:stateorprovince:malopolskie	state or province : malopolskie
concept:politicaloffice:seat	political office : seat
concept:stadiumoreventvenue:dowdy_ficklen_stadium	stadium or event venue : dowdy ficklen stadium
concept:date:n1968	date : n1968
concept:river:valley	river : valley
concept:vegetable:greens	vegetable : greens
concept:fruit:grapes	fruit : grapes
concept:plant:pin_oak	plant : pin oak
concept:chemical:hazardous_chemicals	chemical : hazardous chemicals
concept:trainstation:state_college	trainstation : state college
concept:plant:alders	plant : alders
concept:governmentorganization:workers	government organization : workers
concept:city:missoula	city : missoula
concept:crimeorcharge:offences	crime or charge : offences
2	2
concept:awardtrophytournament:division_title	award trophy tournament : division title
concept:sportsteam:old_dominion_monarchs	sports team : old dominion monarchs
concept:company:doubleclick	company : doubleclick
concept:color:green	color : green
concept:company:admob	company : admob
concept:mammal:giraffe	mammal : giraffe
concept:disease:rheumatic_diseases	disease : rheumatic diseases
concept:stateorprovince:mazowieckie	state or province : mazowieckie
concept:plant:buttonwood	plant : buttonwood
concept:city:queensland	city : queensland
concept:country:burkina	country : burkina
concept:meat:top	meat : top
concept:city:vero_beach	city : vero beach
concept:aquarium:groups	aquarium : groups
concept:athlete:john_brady	athlete : john brady
concept:arachnid:brown_recluse_spider	arachnid : brown recluse spider
concept:geopoliticalorganization:nepal	geopolitical organization : nepal
concept:stadiumoreventvenue:sicks__stadium	stadium or event venue : sicks  stadium
concept:female:macbook_air	female : macbook air
concept:coach:virginia_tech	coach : virginia tech
concept:coach:miami_dolphins	coach : miami dolphins
concept:blog:bill_o_reilly	blog : bill o reilly
concept:arachnid:arachnids	arachnid : arachnids
concept:governmentorganization:state_department	government organization : state department
concept:stateorprovince:investors	state or province : investors
concept:plant:lemon	plant : lemon
concept:politicianus:senator_clinton	politician us : senator clinton
concept:bodypart:thyroid_glands	bodypart : thyroid glands
concept:sportsteam:western_kentucky_university	sports team : western kentucky university
concept:city:manchester	city : manchester
concept:coach:thad_matta	coach : thad matta
concept:city:boulder	city : boulder
concept:food:calcium	food : calcium
concept:river:schuylkill	river : schuylkill
concept:coach:gary_pinkel	coach : gary pinkel
concept:color:colours	color : colours
concept:newspaper:the_philadelphia_inquirer	newspaper : the philadelphia inquirer
concept:city:huntsville	city : huntsville
concept:chemical:silicates	chemical : silicates
concept:braintissue:enteric_nervous_system	brain tissue : enteric nervous system
concept:newspaper:newsday	newspaper : newsday
concept:agriculturalproduct:oil_sea_salt	agricultural product : oil sea salt
concept:beverage:forced_air	beverage : forced air
concept:vehicle:countries	vehicle : countries
concept:mammal:puppies	mammal : puppies
concept:disease:neuromuscular_diseases	disease : neuromuscular diseases
concept:website:advantage	website : advantage
concept:city:milwaukee	city : milwaukee
concept:condiment:glaze	condiment : glaze
concept:magazine:the_wall_street_journal	magazine : the wall street journal
concept:stateorprovince:facility	state or province : facility
concept:coach:josh_mcdaniels	coach : josh mcdaniels
concept:year:n1984	year : n1984
concept:geopoliticalorganization:policies	geopolitical organization : policies
concept:plant:fig	plant : fig
concept:plant:cactuses	plant : cactuses
concept:date:feb_	date : feb 
concept:insect:beetle_larvae	insect : beetle larvae
concept:disease:type_1	disease : type 1
concept:nut:acorns	nut : acorns
concept:magazine:items	magazine : items
concept:scientificterm:complete	scientific term : complete
concept:monument:pro	monument : pro
concept:website:ktal_tv	website : ktal tv
concept:newspaper:democrat	newspaper : democrat
concept:country:east_timor	country : east timor
concept:book:job	book : job
concept:attraction:art	attraction : art
concept:scientificterm:info	scientific term : info
concept:meat:cream_sauce	meat : cream sauce
concept:city:lead	city : lead
concept:emotion:devotion	emotion : devotion
concept:conference:cent	conference : cent
concept:mammal:hares	mammal : hares
concept:invertebrate:wildebeest	invertebrate : wildebeest
concept:governmentorganization:justice_department	government organization : justice department
concept:book:middle	book : middle
concept:coach:texas_tech	coach : texas tech
concept:city:rome	city : rome
concept:writer:brian_billick	writer : brian billick
concept:televisionstation:wnit_tv	television station : wnit tv
concept:restaurant:top_choice	restaurant : top choice
concept:city:liverpool	city : liverpool
concept:sportsteam:penn_state	sports team : penn state
concept:city:elk_grove	city : elk grove
concept:candy:liquid	candy : liquid
concept:stateorprovince:southern_oregon	state or province : southern oregon
concept:city:vallejo	city : vallejo
concept:chemical:analysis	chemical : analysis
concept:disease:behavior_problems	disease : behavior problems
concept:chemical:greenhouse_effect	chemical : greenhouse effect
concept:city:evanston	city : evanston
concept:automobilemaker:products	automobile maker : products
concept:transportation:full_air	transportation : full air
concept:beverage:white_chocolate	beverage : white chocolate
concept:room:setting	room : setting
concept:city:weed	city : weed
concept:comedian:john_chancellor	comedian : john chancellor
concept:highway:mainstream	highway : mainstream
concept:scientificterm:addition	scientific term : addition
concept:plant:olive_trees	plant : olive trees
concept:plant:flower	plant : flower
concept:disease:blood_pressure	disease : blood pressure
concept:room:executive	room : executive
concept:sportsteam:new_york_islanders	sports team : new york islanders
concept:vegetable:walnuts	vegetable : walnuts
concept:bird:parent_birds	bird : parent birds
concept:mldataset:n4	ml dataset : n4
concept:sportsteam:akron_pros	sports team : akron pros
concept:sportsteam:huskies	sports team : huskies
concept:hallwayitem:areas	hallway item : areas
concept:biotechcompany:white	biotech company : white
concept:televisionstation:wneo	television station : wneo
concept:chemical:saline	chemical : saline
concept:agent:world	agent : world
concept:university:msu	university : msu
concept:disease:terminal_illness	disease : terminal illness
concept:geopoliticallocation:the_new_york	geopolitical location : the new york
concept:invertebrate:urchins	invertebrate : urchins
concept:geopoliticallocation:albion	geopolitical location : albion
concept:transportation:concerns	transportation : concerns
concept:personmexico:texas_rangers	person mexico : texas rangers
concept:city:jonesboro	city : jonesboro
concept:grain:buckwheat	grain : buckwheat
concept:tableitem:old	table item : old
concept:televisionstation:kaet	television station : kaet
concept:programminglanguage:center	programming language : center
concept:braintissue:hypothalamic_pituitary_adrenal_axis	brain tissue : hypothalamic pituitary adrenal axis
concept:sportsteam:hawkeyes	sports team : hawkeyes
concept:university:yahoo	university : yahoo
concept:geopoliticalorganization:e_mail	geopolitical organization : e mail
concept:disease:growth	disease : growth
concept:sportsteam:unc_asheville_bulldogs	sports team : unc asheville bulldogs
concept:city:sonoma	city : sonoma
concept:coach:jimmy_patsos	coach : jimmy patsos
concept:plant:red_oak	plant : red oak
concept:stateorprovince:ostroleka	state or province : ostroleka
concept:city:police	city : police
concept:plant:tamarack	plant : tamarack
concept:mammal:fox	mammal : fox
concept:profession:special_education_teachers	profession : special education teachers
concept:disease:meningitis	disease : meningitis
concept:currency:lev	currency : lev
concept:visualizablething:soybean_oil	visualizable thing : soybean oil
concept:country:russian_federation	country : russian federation
concept:geopoliticallocation:kerry	geopolitical location : kerry
concept:chemical:by_products	chemical : by products
concept:sportsteam:harvard_divinity_school	sports team : harvard divinity school
concept:governmentorganization:u__s__department	government organization : u  s  department
concept:bird:gulls	bird : gulls
concept:park:wonderland	park : wonderland
concept:sportsteam:southeast_missouri_state_redhawks	sports team : southeast missouri state redhawks
concept:braintissue:sensory_systems	brain tissue : sensory systems
concept:disease:itp	disease : itp
concept:nut:trunk	nut : trunk
concept:insect:black_flies	insect : black flies
concept:coach:tomlin	coach : tomlin
concept:city:somerville	city : somerville
concept:insect:beneficial_insects	insect : beneficial insects
concept:blog:harvard_business_review	blog : harvard business review
concept:coach:bill_callahan	coach : bill callahan
concept:vehicle:press	vehicle : press
concept:food:caviar	food : caviar
concept:city:providence	city : providence
concept:chemical:steam	chemical : steam
concept:personus:pat_mitchell	personus : pat mitchell
concept:fruit:strawberries	fruit : strawberries
concept:city:redondo_beach	city : redondo beach
concept:coach:houston_oilers	coach : houston oilers
concept:crimeorcharge:drug_offences	crime or charge : drug offences
concept:currency:sierra_leone	currency : sierra leone
concept:bank:citizens	bank : citizens
concept:mammal:lab_animals	mammal : lab animals
concept:sportsteam:lancers	sports team : lancers
concept:coach:dom_capers	coach : dom capers
concept:city:lithonia	city : lithonia
concept:food:vegetation	food : vegetation
concept:stateorprovince:al_anbar	state or province : al anbar
concept:sport:football	sport : football
concept:athlete:boston_red_sox	athlete : boston red sox
concept:transportation:blessing	transportation : blessing
concept:city:colmar	city : colmar
concept:stateorprovince:bc	state or province : bc
concept:stateorprovince:newmexico	state or province : newmexico
concept:condiment:egg_noodles	condiment : egg noodles
concept:university:north_carolina_state	university : north carolina state
concept:sportsteam:columbus_crew	sports team : columbus crew
concept:visualizablething:loin	visualizable thing : loin
concept:coach:hiddink	coach : hiddink
concept:musicalbum:decades	music album : decades
concept:year:n1970	year : n1970
concept:visualizablething:elmhurst	visualizable thing : elmhurst
concept:month:july	month : july
concept:skiarea:white_river	ski area : white river
concept:year:n1842	year : n1842
concept:condiment:taste	condiment : taste
concept:person:porter001	person : porter001
concept:country:luxembourg	country : luxembourg
concept:city:moscow	city : moscow
concept:stateorprovince:manufacturers	state or province : manufacturers
concept:city:xavier	city : xavier
concept:disease:downs_syndrome	disease : downs syndrome
concept:chemical:gases	chemical : gases
concept:mammal:grizzly_bear	mammal : grizzly bear
concept:plant:hazelnut	plant : hazelnut
concept:chemical:sensor	chemical : sensor
concept:sportsteam:oklahoma_sooners_basketball	sports team : oklahoma sooners basketball
concept:politicianus:bush	politician us : bush
concept:fish:tilapia	fish : tilapia
concept:disease:type_1_diabetes	disease : type 1 diabetes
concept:bedroomitem:sort	bedroom item : sort
concept:plant:honeysuckle	plant : honeysuckle
concept:river:salt_river	river : salt river
concept:university:north_dakota_state	university : north dakota state
concept:city:west_covina	city : west covina
concept:programminglanguage:mail	programming language : mail
concept:room:levels	room : levels
concept:stateorprovince:home	state or province : home
concept:emotion:love	emotion : love
concept:company:sequent	company : sequent
concept:disease:smallpox	disease : smallpox
concept:politicalparty:democrats	political party : democrats
concept:visualizablething:big_city	visualizable thing : big city
concept:plant:plants	plant : plants
concept:date:n1966	date : n1966
concept:stadiumoreventvenue:louisiana_state_university	stadium or event venue : louisiana state university
concept:coach:green_bay_packers	coach : green bay packers
concept:plant:plane_trees	plant : plane trees
concept:eventoutcome:scenario	event outcome : scenario
concept:city:cathedral_city	city : cathedral city
concept:website:clients	website : clients
concept:mammal:mink	mammal : mink
concept:planet:treat	planet : treat
concept:planet:fire	planet : fire
concept:coach:bill_snyder	coach : bill snyder
concept:city:verde	city : verde
concept:sportsteam:mavericks	sports team : mavericks
concept:personafrica:jonathan_schwartz	personafrica : jonathan schwartz
concept:city:plans	city : plans
concept:ceo:steve_case	ceo : steve case
concept:ceo:lou_gerstner	ceo : lou gerstner
concept:grain:winter_wheat	grain : winter wheat
concept:arthropod:small_invertebrates	arthropod : small invertebrates
concept:aquarium:new_england	aquarium : new england
concept:sportsequipment:goal	sports equipment : goal
concept:visualizablething:dumplings	visualizable thing : dumplings
concept:sportsteam:byu	sports team : byu
concept:retailstore:albertson	retail store : albertson
concept:fruit:crop_varieties	fruit : crop varieties
concept:musicsong:norman	music song : norman
concept:museum:paper	museum : paper
concept:braintissue:plexus	brain tissue : plexus
concept:chemical:toxic_fumes	chemical : toxic fumes
concept:ceo:kenneth_lewis	ceo : kenneth lewis
concept:river:irwell	river : irwell
concept:sportsteam:atlanta_thrashers	sports team : atlanta thrashers
concept:landscapefeatures:no__1	landscape features : no  1
concept:plant:alder	plant : alder
concept:amphibian:froglets	amphibian : froglets
concept:product:spider	product : spider
concept:coach:kevin_o_neill	coach : kevin o neill
concept:planet:fresh_water	planet : fresh water
concept:jobposition:minister_of_foreign_affairs	job position : minister of foreign affairs
concept:color:sky	color : sky
concept:website:pages	website : pages
concept:plant:snowdrops	plant : snowdrops
concept:bird:two_hens	bird : two hens
concept:food:bell_peppers	food : bell peppers
concept:newspaper:sun_microsystems	newspaper : sun microsystems
concept:musicinstrument:mac_os_x	music instrument : mac os x
concept:city:construction	city : construction
concept:stadiumoreventvenue:amway_center	stadium or event venue : amway center
concept:monument:photographer	monument : photographer
concept:muscle:muscle_tension	muscle : muscle tension
concept:profession:operators	profession : operators
concept:stadiumoreventvenue:cajun_field	stadium or event venue : cajun field
concept:emotion:night	emotion : night
concept:city:tirana	city : tirana
concept:chemical:simple_compounds	chemical : simple compounds
concept:perceptionaction:cedar_rapids	perception action : cedar rapids
concept:website:article	website : article
concept:sportsequipment:apparel	sports equipment : apparel
concept:personus:david_gregory	personus : david gregory
concept:sportsgame:chance	sportsgame : chance
concept:physiologicalcondition:cleft_lip	physiological condition : cleft lip
concept:insect:insects	insect : insects
concept:lake:mediterranean	lake : mediterranean
concept:physiologicalcondition:language_disabilities	physiological condition : language disabilities
concept:plant:black_oak	plant : black oak
concept:academicfield:real_estate	academic field : real estate
concept:politician:w__bush	politician : w  bush
concept:bedroomitem:order	bedroom item : order
concept:disease:diabetes_mellitus	disease : diabetes mellitus
concept:weapon:requirements	weapon : requirements
concept:coach:dan_mullen	coach : dan mullen
concept:plant:juniper	plant : juniper
concept:person:george_washington	person : george washington
concept:city:willows	city : willows
concept:economicsector:insurance	economic sector : insurance
concept:hallwayitem:point	hallway item : point
concept:disease:heart_attacks	disease : heart attacks
concept:insect:adult_butterflies	insect : adult butterflies
concept:vehicle:mail	vehicle : mail
concept:sportsteam:new_york_giants	sports team : new york giants
concept:city:hotels	city : hotels
concept:condiment:zucchini	condiment : zucchini
concept:country:sudan	country : sudan
concept:plant:algae	plant : algae
concept:politicsblog:white_house	politics blog : white house
concept:visualizablething:art_water	visualizable thing : art water
concept:visualizablething:access	visualizable thing : access
concept:country:us	country : us
concept:river:paraguay	river : paraguay
concept:sportsteam:jaguars	sports team : jaguars
concept:plant:maple_trees	plant : maple trees
concept:river:river_thames	river : river thames
concept:coach:jack_del_rio	coach : jack del rio
concept:journalist:greta_van_susteren	journalist : greta van susteren
concept:stateorprovince:wyoming_cowboys	state or province : wyoming cowboys
concept:sportsteam:boilermakers	sports team : boilermakers
concept:city:whiskeytown	city : whiskeytown
concept:city:puyallup	city : puyallup
concept:emotion:gentleness	emotion : gentleness
concept:stadiumoreventvenue:bobby_dodd_stadium	stadium or event venue : bobby dodd stadium
concept:food:ham_slices	food : ham slices
concept:stateorprovince:ole_miss	state or province : ole miss
concept:city:des_plaines	city : des plaines
concept:economicsector:insurance_services	economic sector : insurance services
concept:website:politics	website : politics
concept:stateorprovince:lihue	state or province : lihue
concept:city:bethesda	city : bethesda
concept:highway:niagara_falls	highway : niagara falls
concept:chemical:bodies	chemical : bodies
concept:city:alta	city : alta
concept:highway:charlestown	highway : charlestown
concept:mammal:crocodile	mammal : crocodile
concept:city:orleans	city : orleans
concept:disease:damage	disease : damage
concept:agriculturalproduct:vegetable_oil	agricultural product : vegetable oil
concept:personalcareitem:great_place	personal care item : great place
concept:stateorprovince:pm	state or province : pm
concept:city:buena_park	city : buena park
concept:river:arno_river	river : arno river
concept:bird:great_tits	bird : great tits
concept:disease:deformities	disease : deformities
concept:animal:deer001	animal : deer001
concept:reptile:waterfowl	reptile : waterfowl
concept:city:pearland	city : pearland
concept:room:expansion	room : expansion
concept:emotion:affection	emotion : affection
concept:food:yogurt	food : yogurt
concept:artery:cell	artery : cell
concept:coach:jim_watson	coach : jim watson
concept:county:olympia	county : olympia
concept:writer:matter	writer : matter
concept:plant:oaks	plant : oaks
concept:reptile:lizards	reptile : lizards
concept:politicaloffice:central	political office : central
concept:vehicle:advice	vehicle : advice
concept:country:azerbaijan	country : azerbaijan
concept:stateorprovince:wisconsin	state or province : wisconsin
concept:river:lower_mississippi	river : lower mississippi
concept:awardtrophytournament:nfl_championship_game	award trophy tournament : nfl championship game
concept:profession:law	profession : law
concept:fish:sturgeon	fish : sturgeon
concept:city:springfield	city : springfield
concept:chemical:boron	chemical : boron
concept:disease:macular_degeneration	disease : macular degeneration
concept:company:adobe	company : adobe
concept:city:districts	city : districts
concept:condiment:sashimi	condiment : sashimi
concept:building:palm	building : palm
concept:wine:merlot	wine : merlot
concept:mammal:camels	mammal : camels
concept:stateorprovince:south_dakota	state or province : south dakota
concept:person:ichiro_suzuki	person : ichiro suzuki
concept:bird:seabirds	bird : seabirds
concept:athlete:carl_crawford	athlete : carl crawford
concept:person:pat_riley	person : pat riley
concept:book:taking	book : taking
concept:plant:elms	plant : elms
concept:food:salad_recipe	food : salad recipe
concept:park:news	park : news
concept:county:brooklyn	county : brooklyn
concept:arthropod:jellyfish	arthropod : jellyfish
concept:beach:austin_texas	beach : austin texas
concept:insect:small_bees	insect : small bees
concept:museum:new_york_times	museum : new york times
concept:plant:chestnut	plant : chestnut
concept:monument:smithsonian_institution	monument : smithsonian institution
concept:sportsteam:savannah_state_tigers	sports team : savannah state tigers
concept:sportsteam:samford_bulldogs	sports team : samford bulldogs
concept:televisionstation:wsec	television station : wsec
concept:agriculturalproduct:cocoa	agricultural product : cocoa
concept:city:mascot	city : mascot
concept:river:arts	river : arts
concept:vegetable:carrots	vegetable : carrots
concept:color:magenta	color : magenta
concept:stateorprovince:ut	state or province : ut
concept:date:n1979	date : n1979
concept:city:arkansas	city : arkansas
concept:emotion:eastern	emotion : eastern
concept:politicianus:al_gore	politician us : al gore
concept:sportsteam:stephen_f_austin_lumberjacks	sports team : stephen f austin lumberjacks
concept:magazine:cosmopolitan	magazine : cosmopolitan
concept:jobposition:deputy_minister	job position : deputy minister
concept:coach:johnny_dawkins	coach : johnny dawkins
concept:university:by_name	university : by name
concept:personeurope:james_wright	person europe : james wright
concept:newspaper:the_financial_times	newspaper : the financial times
concept:artery:right	artery : right
concept:sportsteam:new_mexico_lobos	sports team : new mexico lobos
concept:kitchenitem:cold_water	kitchen item : cold water
concept:condiment:mayonnaise_sauce	condiment : mayonnaise sauce
concept:personmexico:jim_valvano	person mexico : jim valvano
concept:sportsgame:two_years	sportsgame : two years
concept:biotechcompany:chrome	biotech company : chrome
concept:agriculturalproduct:fresh_coffee	agricultural product : fresh coffee
concept:sportsteam:twins	sports team : twins
concept:bodypart:skeletal	bodypart : skeletal
concept:person:al_skinner	person : al skinner
concept:male:barak	male : barak
concept:city:mi	city : mi
concept:river:volga	river : volga
concept:televisionstation:wwbt_tv	television station : wwbt tv
concept:country:haiti	country : haiti
concept:book:amsterdam	book : amsterdam
concept:coach:butch_jones	coach : butch jones
concept:stadiumoreventvenue:joe_aillet_stadium	stadium or event venue : joe aillet stadium
concept:university:ball_state	university : ball state
concept:meat:dish	meat : dish
concept:geopoliticalorganization:us_	geopolitical organization : us 
concept:landscapefeatures:bathroom	landscape features : bathroom
concept:drug:nicotine	drug : nicotine
concept:arthropod:snails	arthropod : snails
concept:website:directions	website : directions
concept:coach:jim_harbaugh	coach : jim harbaugh
concept:hotel:somerset	hotel : somerset
concept:scientificterm:informtion	scientific term : informtion
concept:city:sunset	city : sunset
concept:drug:vitamin_c	drug : vitamin c
concept:automobileengine:production	automobile engine : production
concept:drug:selenium	drug : selenium
concept:website:atlanta_journal_constitution	website : atlanta journal constitution
concept:chemical:air_pollutants	chemical : air pollutants
concept:animal:furbearers	animal : furbearers
concept:city:san_leandro	city : san leandro
concept:magazine:wired	magazine : wired
concept:book:all_new	book : all new
concept:chemical:green_house_gas	chemical : green house gas
concept:landscapefeatures:farmland	landscape features : farmland
concept:country:member_countries	country : member countries
concept:bird:vultures	bird : vultures
concept:beverage:delicious_chocolate	beverage : delicious chocolate
concept:sportsleague:ncaa_football	sports league : ncaa football
concept:person:nate_mclouth	person : nate mclouth
concept:visualizablething:omelette	visualizable thing : omelette
concept:disease:epidemic	disease : epidemic
concept:geopoliticalorganization:dprk	geopolitical organization : dprk
concept:sportsteam:nc_state_wolfpack_basketball	sports team : nc state wolfpack basketball
concept:mammal:hedgehogs	mammal : hedgehogs
concept:condiment:pineapple_salsa	condiment : pineapple salsa
concept:reptile:mother_turtle	reptile : mother turtle
concept:coach:clinton_white	coach : clinton white
concept:sportsteam:arizona_wildcats	sports team : arizona wildcats
concept:county:bellingham	county : bellingham
concept:stadiumoreventvenue:miller_motorsports_park	stadium or event venue : miller motorsports park
concept:city:nyc_	city : nyc 
concept:river:upper_hudson	river : upper hudson
concept:sportsteam:chicago_white_sox	sports team : chicago white sox
concept:scientificterm:information_contact	scientific term : information contact
concept:county:williamsburg	county : williamsburg
concept:country:chile	country : chile
concept:stateorprovince:metairie	state or province : metairie
concept:county:private_schools	county : private schools
concept:televisionshow:hong_kong	television show : hong kong
concept:televisionstation:weao	television station : weao
concept:mammal:porpoises	mammal : porpoises
concept:stadiumoreventvenue:joe_louis_arena	stadium or event venue : joe louis arena
concept:person:button	person : button
concept:chemical:dioxin	chemical : dioxin
concept:mammal:rats	mammal : rats
concept:sportsteam:northern_illinois_university	sports team : northern illinois university
concept:agriculturalproduct:bay_leaf	agricultural product : bay leaf
concept:crimeorcharge:months	crime or charge : months
concept:skiarea:benchmark	ski area : benchmark
concept:monument:cherry_hill	monument : cherry hill
concept:newspaper:macomb_daily	newspaper : macomb daily
concept:person:willingham	person : willingham
concept:charactertrait:central	character trait : central
concept:televisionstation:kytv	television station : kytv
concept:stadiumoreventvenue:cracker_jack_stadium	stadium or event venue : cracker jack stadium
concept:sportsteam:valparaiso_crusaders	sports team : valparaiso crusaders
concept:athlete:williams	athlete : williams
concept:sportsteam:oakland_athletics	sports team : oakland athletics
concept:visualizableattribute:rain_water	visualizable attribute : rain water
concept:sportsteam:indiana_hoosiers	sports team : indiana hoosiers
concept:profession:travel_professionals	profession : travel professionals
concept:city:cicero	city : cicero
concept:food:pests	food : pests
concept:bird:flamingos	bird : flamingos
concept:city:etna	city : etna
concept:geopoliticallocation:worldwide	geopolitical location : worldwide
concept:shoppingmall:schofield_barracks	shopping mall : schofield barracks
concept:skiarea:roaring_fork	ski area : roaring fork
concept:city:tehran	city : tehran
concept:stateorprovince:nsw	state or province : nsw
concept:disease:conduct_disorder	disease : conduct disorder
concept:scientificterm:more_information_contact	scientific term : more information contact
concept:person:republican	person : republican
concept:food:chicken_legs	food : chicken legs
concept:transportation:central_air	transportation : central air
concept:county:newton	county : newton
concept:city:san_luis_obispo	city : san luis obispo
concept:stadiumoreventvenue:hubert_h__humphrey_metrodome	stadium or event venue : hubert h  humphrey metrodome
concept:aquarium:pacific_basin	aquarium : pacific basin
concept:geometricshape:side	geometric shape : side
concept:city:charleston	city : charleston
concept:sportsteam:iowa_state	sports team : iowa state
concept:bird:frank_rich	bird : frank rich
concept:crustacean:fiddler_crabs	crustacean : fiddler crabs
concept:country:niger	country : niger
concept:trail:apple_valley	trail : apple valley
concept:country:bermuda	country : bermuda
concept:bird:gecko	bird : gecko
concept:city:alhambra	city : alhambra
concept:landscapefeatures:old	landscape features : old
concept:profession:faculty_members	profession : faculty members
concept:mammal:prairie_dogs	mammal : prairie dogs
concept:country:commonwealth_countries	country : commonwealth countries
concept:country:scandinavian_countries	country : scandinavian countries
concept:website:the_san_francisco_chronicle	website : the san francisco chronicle
concept:braintissue:motor_system	brain tissue : motor system
concept:sportsteam:titans	sports team : titans
concept:river:adventure	river : adventure
concept:sportsteam:st___louis_browns	sports team : st   louis browns
concept:fish:hawksbill_turtle	fish : hawksbill turtle
concept:company:kemv	company : kemv
concept:televisionstation:wtvi	television station : wtvi
concept:personmexico:carlos_fisher	person mexico : carlos fisher
concept:city:perugia	city : perugia
concept:election:assessment	election : assessment
concept:visualizablething:bowtie_pasta	visualizable thing : bowtie pasta
concept:coach:bill_mccartney	coach : bill mccartney
concept:mammal:yaks	mammal : yaks
concept:currency:kuna	currency : kuna
concept:hallwayitem:pick	hallway item : pick
concept:personmexico:mike_tice	person mexico : mike tice
concept:governmentorganization:us_congress	government organization : us congress
concept:city:cape_coral	city : cape coral
concept:coach:bobby_ross	coach : bobby ross
concept:animal:wildlife	animal : wildlife
concept:jobposition:superintendent	job position : superintendent
concept:city:irving	city : irving
concept:coach:barry_switzer	coach : barry switzer
concept:bird:three_hens	bird : three hens
concept:chemical:forms	chemical : forms
concept:trainstation:covina	trainstation : covina
concept:plant:wild_fig	plant : wild fig
concept:geopoliticallocation:tijuana	geopolitical location : tijuana
concept:coach:stoops	coach : stoops
concept:river:dordogne	river : dordogne
concept:county:wilson	county : wilson
concept:plant:rhododendrons	plant : rhododendrons
concept:videogame:real	video game : real
concept:stadiumoreventvenue:brown_stadium	stadium or event venue : brown stadium
concept:stadiumoreventvenue:malone_stadium	stadium or event venue : malone stadium
concept:bakedgood:cornbread	baked good : cornbread
concept:building:four	building : four
concept:attraction:giant_swing	attraction : giant swing
concept:company:nebraska	company : nebraska
concept:city:bournemouth	city : bournemouth
concept:company:daily_news001	company : daily news001
concept:city:clayton	city : clayton
concept:governmentorganization:california_department	government organization : california department
concept:website:directories	website : directories
concept:medicalprocedure:d_c	medical procedure : d c
concept:chemical:pectins	chemical : pectins
concept:newspaper:daily_star	newspaper : daily star
concept:visualizablething:rigatoni	visualizable thing : rigatoni
concept:protein:lead	protein : lead
concept:artery:sinuses	artery : sinuses
concept:politicianus:francisco_rodriguez	politician us : francisco rodriguez
concept:personmexico:mack_brown	person mexico : mack brown
concept:dateliteral:n1911	date literal : n1911
concept:male:history	male : history
concept:artery:spinal_canal	artery : spinal canal
concept:politicsblog:mother_jones	politics blog : mother jones
concept:vegetable:cottage_cheese	vegetable : cottage cheese
concept:coach:terry_porter	coach : terry porter
concept:product:section	product : section
concept:vegetable:fillet	vegetable : fillet
concept:insect:mealworms	insect : mealworms
concept:skiarea:loser	ski area : loser
concept:company:abc_news	company : abc news
concept:animal:turkey	animal : turkey
concept:bedroomitem:frame	bedroom item : frame
concept:sportsteam:northern_arizona	sports team : northern arizona
concept:plant:pear_cactus	plant : pear cactus
concept:stateorprovince:virginia	state or province : virginia
concept:religion:east_asia	religion : east asia
concept:braintissue:intestine	brain tissue : intestine
concept:newspaper:the_wall_street	newspaper : the wall street
concept:governmentorganization:commission	government organization : commission
concept:insect:fly	insect : fly
concept:date:dec_	date : dec 
concept:chemical:methylene_chloride	chemical : methylene chloride
concept:mammal:feral_cats	mammal : feral cats
concept:fungus:blood	fungus : blood
concept:chemical:solvents	chemical : solvents
concept:plant:native_grasses	plant : native grasses
concept:politicalparty:public	political party : public
concept:musicartist:news	music artist : news
concept:city:vancouver	city : vancouver
concept:coach:doc_rivers	coach : doc rivers
concept:invertebrate:spider	invertebrate : spider
concept:country:belize	country : belize
concept:city:charlotte	city : charlotte
concept:buildingfeature:host	building feature : host
concept:cardgame:board	card game : board
concept:plant:willows	plant : willows
concept:country:king	country : king
concept:country:eu_countries	country : eu countries
concept:company:apple001	company : apple001
concept:year:n1998	year : n1998
concept:city:bethlehem	city : bethlehem
concept:economicsector:contact_form	economic sector : contact form
concept:monument:d_c	monument : d c
concept:scientist:carl_sagan	scientist : carl sagan
concept:sportsteam:tennessee_chattanooga_mocs	sports team : tennessee chattanooga mocs
concept:sportsteam:carolina_hurricanes	sports team : carolina hurricanes
concept:building:hollywood	building : hollywood
concept:landscapefeatures:guide	landscape features : guide
concept:person:michael002	person : michael002
concept:eventoutcome:member	event outcome : member
concept:date:n2009	date : n2009
concept:visualizableobject:tater_tots	visualizable object : tater tots
concept:crustacean:crab_legs	crustacean : crab legs
concept:televisionstation:kbtc_tv	television station : kbtc tv
concept:stadiumoreventvenue:hilltop_park	stadium or event venue : hilltop park
concept:sportsteam:syracuse_university	sports team : syracuse university
concept:crustacean:langostino	crustacean : langostino
